id,name,description,count,bonus,volume,long_side,middle_side,short_side,difficulty
1,i_am_a_bunny_book,I am a Bunny Hardcover Book,1,0,134,20.0,16.7,0.4,1
2,laugh_out_loud_joke_book,Laugh Out Loud Jokes for Kids Paperback Book,1,0,194,17.8,10.9,1.0,1
3,rawlings_baseball,Rawlings Recreational Use Baseball,1,+1,314,6.8,6.8,6.8,1
4,folgers_classic_roast_coffee,Folgers Classic Roast Coffee,1,0,1350,13.5,10.0,10.0,2
5,scotch_bubble_mailer,Scotch Bubble Mailer,2,0,160,29,25,1,3
6,elmers_washable_no_run_school_glue,Elmers's Glue-All,2,0,278,14.5,6.4,3.0,1
7,hanes_tube_socks,Hanes Tube Socks,1,+1,4000,22.0,20.0,10.0,3
8,womens_knit_gloves,Women's Knit Gloves,1,+1,270,21.6,13.7,0.9,1
9,cloud_b_plush_bear,Cloud B Plush Bear,1,+1,799,14.1,11.7,4.9,1
10,kyjen_squeakin_eggs_plush_puppies,Plush Puppies Squeakin' Eggs,1,+1,1232,14.6,12.1,5.0,2
11,creativity_chenille_stems,Creativity Street Chenille Stems - 100 Count,2,0,566,37.4,9.6,1.6,3
12,oral_b_toothbrush_red,Oral-B Cavity Defense Toothbrush (red),1,0,86,22.0,2.5,1.6,2
13,cool_shot_glue_sticks,Cool Shot Mini Glue Sticks,1,0,470,15.6,8.5,3.5,1
14,dr_browns_bottle_brush,Dr. Brown's Natural Flow Bottle Brush,1,+2,1890,31.0,10.5,5.8,2
15,fiskars_scissors_red,"Fiskars Scissors 5"" Blunt Tip - Red",1,+2,61,13.3,6.6,1.5,2
16,platinum_pets_dog_bowl,Platinum Pets Dog Bowl,1,+1,433,11.9,11.9,3.1,2
17,fitness_gear_3lb_dumbbell,Fitness Gear 3lb Neoprene Dumbbell,1,+3,731,15.0,7.5,6.5,3
18,rolodex_jumbo_pencil_cup,Rolodex Wire Mesh Jumbo Pencil Holder,1,+3,1678,13.6,11.1,11.1,3
19,expo_dry_erase_board_eraser,Expo White Board Care Eraser,2,0,246,13.0,5.4,3.5,1
20,kleenex_tissue_box,Kleenex Cool Touch Tissue Box,1,0,1645,13.0,11.5,11.0,1
21,crayola_24_ct,Crayola Crayons,1,0,166,9.5,7.0,2.5,1
22,dove_beauty_bar,Dove Dry Oil Beauty Bar,1,0,199,9.3,6.3,3.4,1
23,staples_index_cards,Staples 3x5 Ruled Index Cards,2,0,176,12.7,7.7,1.8,1
24,up_glucose_bottle,Up & Up Glucose Tablets,1,0,667,14.0,6.9,6.9,1
25,dasani_water_bottle,Dasani Water Bottle,2,+2,872,19.5,6.7,6.7,3
26,cherokee_easy_tee_shirt,Cherokee Easy Tee T-Shirt,1,+1,1166,44.6,43.6,0.6,2
27,peva_shower_curtain_liner,PEVA Shower Curtain Liner,1,0,1904,31.1,17.5,3.5,2
28,barkely_hide_bones,Boots & Barkley Beef hide Bones,1,0,924,20.6,13.6,3.3,1
29,soft_white_lightbulb,40W Soft White Lightbulb,1,0,446,12.0,6.2,6.0,1
30,safety_first_outlet_plugs,Safety 1st Ultra Clear Outlet Plugs,1,0,539,19.2,9.2,3.1,2
31,command_hooks,Command Hooks 6pack,1,0,914,16.6,12.0,4.6,2
32,easter_turtle_sippy_cup,Easter Turtle Figural Sippy Cup,1,+2,1602,14.8,12.7,8.6,2
33,scotch_duct_tape,Scotch Cloth Duct Tape,2,+1,461,9.6,9.6,5.0,2
34,woods_extension_cord,Woods 6ft. Extension Cord,1,+1,405,18.0,7.5,3.0,1
35,clorox_utility_brush,Clorox Utility Brush,1,+2,976,18.4,8.1,6.5,2
36,kleenex_paper_towels,Kleenex Viva Paper Towels,1,+1,5000,30.0,15,15,3
37,ticonderoga_12_pencils,Ticonderoga #2 Pencils - 12 Count,1,0,205,21.4,9.6,1.0,1
38,jane_eyre_dvd,Jane Eyre DVD,1,0,359,19.0,13.5,1.4,1
39,oral_b_toothbrush_green,Oral-B Cavity Defense Toothbrush (green),1,0,86,22.0,2.5,1.6,2
